t	x	y	z
1352614474507	-6.0201936	7.641015	2.0975335
1352614474527	-6.4151835	7.6273947	2.0158114
1352614474547	-6.769313	7.4911914	2.587866
1352614474567	-6.891896	7.2187843	3.445948
1352614474601	-6.67397	6.9463773	4.4538536
1352614474650	-6.1291566	6.8237944	4.630918
1352614474650	-5.8158884	6.6331096	3.9635212
1352614474650	-5.6660647	6.578628	2.7921712
1352614474670	-5.4890003	6.4832854	1.4301366
1352614474692	-5.339176	6.3334618	0.313268
1352614474719	-5.284695	6.1700177	-0.46309182
1352614474734	-4.9850473	6.006573	-1.5935807
1352614474753	-4.535576	5.8976107	-2.9283748
1352614474773	-4.344891	5.706926	-4.235928
1352614474793	-4.2086873	5.47538	-4.862464
1352614474813	-4.113345	5.1212506	-4.6172976
1352614474833	-3.6911142	4.903325	-4.4810944
1352614474854	-2.8330324	4.8897047	-4.944186
1352614474874	-2.3290794	4.862464	-5.706926
1352614474895	-2.2064962	4.576437	-6.1291566
1352614474915	-1.9885708	4.2904096	-6.0201936
1352614474936	-1.525479	3.8681788	-6.0882955
1352614474956	-1.1168685	3.5412905	-6.905516
1352614474976	-0.7354988	3.4187074	-7.763598
1352614474996	-0.2860273	3.2961242	-7.668256
1352614475016	-0.095342435	2.9283748	-7.1506824
1352614475038	0.21792556	2.5606253	-7.3141265
1352614475059	1.0623871	2.4789033	-8.390134
1352614475077	1.7161638	2.4516625	-9.534244
1352614475097	2.083913	2.2064962	-9.779409
1352614475119	2.0566726	1.6753027	-10.119919
1352614475138	2.152015	1.1985906	-10.664732
1352614475158	2.6423476	0.92618364	-11.250407
1352614475178	3.1871614	0.58567494	-11.618156
1352614475199	3.3642259	0.2860273	-12.503479
1352614475219	2.6423476	-0.013620348	-14.47843
1352614475239	2.6832085	0.06810174	-14.47843
1352614475262	3.4731886	-0.14982383	-14.301365
1352614475289	3.3233647	-0.313268	-14.737216
1352614475300	3.173541	-0.29964766	-15.213928
1352614475320	3.2416427	-0.24516626	-15.118586
1352614475340	3.405087	-0.24516626	-14.451189
1352614475366	3.2688835	-0.12258313	-13.797412
1352614475382	3.1871614	0.027240695	-13.579487
1352614475400	3.2007818	0.25878662	-13.402422
1352614475420	3.2825038	0.40861043	-13.089154
1352614475440	3.1054392	0.6401563	-12.843987
1352614475460	2.669588	0.6810174	-12.244693
1352614475481	2.3563201	0.7763598	-11.590916
1352614475502	2.3426998	1.0079057	-11.182305
1352614475521	2.315459	1.3075534	-11.195926
1352614475541	2.1383946	1.5390993	-11.155065
1352614475561	1.7978859	1.7025435	-10.773695
1352614475581	1.3211738	1.9068487	-10.160779
1352614475602	0.9125633	2.083913	-9.248216
1352614475623	0.46309182	2.3563201	-8.4854765
1352614475643	0.10896278	2.7921712	-8.322033
1352614475663	0.013620348	3.2961242	-8.689782
1352614475683	-0.4903325	3.5004294	-8.553578
1352614475704	-1.4709976	3.5957718	-7.9679036
1352614475724	-2.1792557	3.7047346	-7.3141265
1352614475745	-2.6287272	3.9090397	-6.469665
1352614475765	-2.8057916	4.167826	-5.7341666
1352614475784	-2.7649305	4.4538536	-4.971427
1352614475806	-2.8330324	4.576437	-4.30403
1352614475826	-3.5549107	4.7126403	-3.7319753
1352614475846	-4.385752	4.767122	-3.4187074
1352614475866	-4.630918	4.8760843	-2.73769
1352614475887	-4.7943625	4.971427	-1.9885708
1352614475909	-4.9578066	5.066769	-1.1168685
1352614475927	-5.1076303	5.1076303	-0.24516626
1352614475947	-5.5162406	5.1212506	0.9670447
1352614475967	-5.9248514	5.1621118	1.7978859
1352614475988	-6.7148314	5.053149	2.6287272
1352614476008	-7.082581	5.0803895	3.2825038
1352614476031	-7.572913	5.012288	2.969236
1352614476051	-6.6875906	4.9169455	4.0588636
1352614476072	-6.0882955	5.1484914	5.202973
1352614476096	-6.4424243	5.09401	6.5650077
1352614476111	-6.374323	5.175732	7.749978
1352614476131	-6.4424243	5.2165933	8.62168
1352614476151	-6.7965536	5.053149	8.975809
1352614476171	-7.205164	4.903325	8.934948
1352614476199	-7.477571	4.671779	9.00305
1352614476212	-7.477571	4.508335	9.084772
1352614476232	-7.0553403	4.4538536	8.894087
1352614476255	-6.7556925	4.2904096	8.253931
1352614476273	-6.619489	4.1269655	7.1915436
1352614476293	-6.7148314	3.9771416	5.5026207
1352614476315	-6.347082	4.072484	3.1190596
1352614476334	-6.0610547	4.1814466	0.7354988
1352614476353	-5.8567495	4.235928	-1.1304889
1352614476374	-5.938472	4.1269655	-1.9068487
1352614476394	-6.0201936	3.990762	-2.1247742
1352614476414	-5.3119354	4.031623	-2.5606253
1352614476434	-4.930566	3.8954194	-3.5549107
1352614476456	-4.8352237	3.7319753	-4.767122
1352614476476	-4.385752	3.800077	-5.6660647
1352614476496	-3.881799	3.7728362	-6.0474343
1352614476516	-3.7864566	3.2825038	-6.0201936
1352614476537	-3.8954194	2.6014864	-6.347082
1352614476557	-3.9362805	2.0430522	-7.164303
1352614476577	-3.5549107	1.5390993	-7.8998017
1352614476597	-3.3233647	1.0896279	-8.580819
1352614476617	-2.7785509	0.7354988	-8.60806
1352614476640	-2.4925237	0.40861043	-8.430995
1352614476660	-2.6014864	0.14982383	-8.471856
1352614476680	-2.547005	-0.05448139	-8.580819
